"type","begin_time","frequency","count","created with version","exported with version","project","last_name","first_name","born","sex","measurement_date","record_name"
"record","0.33600","1500","19116","MR3 3.7.45","3.18.64","Project 1","MyoMetrics Demo Record","","","male","2015-06-23T08:45:22.000Z","Treadmill Gait with MyoMotion & EMG  - Bilateral Gait Report"

"time","Activity","Marker","Ankle Dorsiflexion 左 (deg)","Ankle Abduction 左 (deg)","Ankle Inversion 左 (deg)","Ankle Dorsiflexion 右 (deg)","Ankle Abduction 右 (deg)","Ankle Inversion 右 (deg)","TIB.ANT. 左 (uV)","TIB.ANT. 右 (uV)","MED. GASTRO 左 (uV)","MED. GASTRO 右 (uV)"
0.39533,"","",-4.939973354,0.6735553741,-1.055659771,-19.878088,-3.070729017,3.149241686,8.773388279,29.84802011,27.13603877,8.844364763
0.39600,"","",-4.897868156,0.6301602125,-1.069164395,-19.89510918,-2.928286076,3.102575064,8.819142351,30.14951574,27.30665037,8.860775786
0.39667,"","",-4.855762959,0.5870749354,-1.082669139,-19.91213036,-2.785578489,3.055908442,8.859471038,30.28007391,27.46640077,8.885308303
0.39733,"","",-4.813657761,0.5436797738,-1.096173882,-19.92915154,-2.642870903,3.009241819,8.913363187,30.29263418,27.65737717,8.898974819
0.39800,"","",-4.77155304,0.5002845526,-1.109678507,-19.94617271,-2.500427961,2.96295166,9.001133844,30.31260306,27.82391583,8.913985584
0.39867,"","",-4.729447842,0.4568893909,-1.123438001,-19.96253967,-2.357720375,2.916285038,9.056352197,30.33801799,27.88927708,8.923563348
0.39933,"","",-4.687342644,0.4134941995,-1.136942744,-19.97956085,-2.215012789,2.869618416,9.068951144,30.35666215,28.06318584,8.934317328
0.40000,"","",-4.645237446,0.3700990081,-1.150447488,-19.99658203,-2.072305202,2.822951794,9.078837399,30.3996909,28.11632822,8.954537053
0.40067,"","",-4.603132248,0.3267038167,-1.163952112,-20.01360321,-1.929862261,2.77628541,9.079199091,30.49291168,28.11794447,8.972068281
0.40133,"","",-4.56102705,0.2833086252,-1.177456856,-20.03062439,-1.787154675,2.729618788,9.141952697,30.57391564,28.14264081,8.98959951
0.40200,"","",-4.518921852,0.2399134189,-1.190961599,-20.04764557,-1.644447088,2.682952166,9.245396682,30.62646273,28.14917047,8.997608985
0.40267,"","",-4.476816654,0.1965182275,-1.204466224,-20.06401253,-1.502004266,2.636285543,9.293260625,30.72105729,28.17192731,9.011275501
