,0,1,2,3,4,5
127,5,-0.5817151084266667,-5.855427201407795,5,-0.5817151084266667,-5.855427201407795
128,5,0.009008257391324825,-6.255737844233851,5,0.009008257391324825,-6.255737844233851
129,5,-1.2418485262634569,-5.639658764335683,5,-1.2418485262634569,-5.639658764335683
130,5,-1.4290308532928788,-5.744070923045908,5,-1.4290308532928788,-5.744070923045908
131,5,-0.11387550089784382,-5.983847968959708,5,-0.11387550089784382,-5.983847968959708
132,5,-0.09104727364197807,-5.234497656375793,5,-0.09104727364197807,-5.234497656375793
133,6,-1.0160981615358595,-4.71729591857446,6,-1.0160981615358595,-4.71729591857446
134,6,-1.4801855316900392,-1.7770774991760572,6,-1.4801855316900392,-1.7770774991760572
135,0,-1.039418175154451,3.460668682503499,0,-1.039418175154451,3.460668682503499
136,0,-3.7187207701913816,5.061191644345973,0,-3.7187207701913816,5.061191644345973
137,0,-6.683451872546418,3.884965986885723,0,-6.683451872546418,3.884965986885723
138,0,-7.1303001771754575,4.243298284456734,0,-7.1303001771754575,4.243298284456734
139,0,-5.090833997348104,3.849470741219321,0,-5.090833997348104,3.849470741219321
140,0,-0.848314569241289,1.9644814470749599,0,-0.848314569241289,1.9644814470749599
141,0,-1.650197267693653,1.409199857325523,0,-1.650197267693653,1.409199857325523
142,0,-6.490238534698489,3.968798827774905,0,-6.490238534698489,3.968798827774905
143,0,-8.739206028259009,6.1017349127362985,0,-8.739206028259009,6.1017349127362985
144,0,-5.204115548432682,3.758054879498449,0,-5.204115548432682,3.758054879498449
145,0,-1.896334554457445,1.095029713349575,0,-1.896334554457445,1.095029713349575
146,0,-4.848898090671126,3.492939713291138,0,-4.848898090671126,3.492939713291138
147,0,-6.946319914949184,4.595516672442421,0,-6.946319914949184,4.595516672442421
148,0,-4.407090668750435,1.7724443374302346,0,-4.407090668750435,1.7724443374302346
149,0,-2.6388987475366372,0.8433409159852867,0,-2.6388987475366372,0.8433409159852867
150,0,-2.9145879541484083,2.578467513783662,0,-2.9145879541484083,2.578467513783662
151,0,-2.727793270451617,3.806461398736762,0,-2.727793270451617,3.806461398736762
152,4,2.561154287070219,2.5821447548156318,4,2.561154287070219,2.5821447548156318
153,4,4.591822724953535,2.211276692459377,4,4.591822724953535,2.211276692459377
154,4,1.3046141014551615,2.9370653727984055,4,1.3046141014551615,2.9370653727984055
155,2,0.2750188032956067,1.1654607288075962,2,0.2750188032956067,1.1654607288075962
156,0,-1.7153889916260323,1.9161516290575815,0,-1.7153889916260323,1.9161516290575815
157,0,-3.684547798005724,3.8758392201914376,0,-3.684547798005724,3.8758392201914376
158,0,-3.6304698361939733,2.474615766262355,0,-3.6304698361939733,2.474615766262355
159,0,-6.571235659090355,2.9984110402894877,0,-6.571235659090355,2.9984110402894877
160,0,-6.43289639298059,3.347789009807824,0,-6.43289639298059,3.347789009807824
161,4,0.5608465761767198,0.8422103998856276,4,0.5608465761767198,0.8422103998856276
162,4,4.419771916884921,-1.4906719285935794,4,4.419771916884921,-1.4906719285935794
163,4,1.639826899463082,-2.6717566430904287,4,1.639826899463082,-2.6717566430904287
164,4,0.027365544882473003,-4.2187034758205755,4,0.027365544882473003,-4.2187034758205755
165,4,0.14110906088272168,-4.58128904356539,4,0.14110906088272168,-4.58128904356539
166,4,-0.20474795057806228,-4.718188279568175,4,-0.20474795057806228,-4.718188279568175
167,4,-0.9173421066349228,-5.032684638153215,4,-0.9173421066349228,-5.032684638153215
168,4,-0.2915454479566999,-5.096215616616695,4,-0.2915454479566999,-5.096215616616695
169,4,-0.658149796731557,-5.337228010555361,4,-0.658149796731557,-5.337228010555361
170,4,-0.9455691079500204,-5.343608556331597,4,-0.9455691079500204,-5.343608556331597
171,4,0.013846754527351735,-5.03348971835283,4,0.013846754527351735,-5.03348971835283
172,4,0.4906376001440411,-4.266523878898107,4,0.4906376001440411,-4.266523878898107
173,4,0.38638123914277855,-4.296067491988828,4,0.38638123914277855,-4.296067491988828
174,4,0.902540180413336,-5.8758788722297615,4,0.902540180413336,-5.8758788722297615
175,4,1.6667702663910657,-5.8371618647442185,4,1.6667702663910657,-5.8371618647442185
176,4,0.7871819158499282,-5.034585369174252,4,0.7871819158499282,-5.034585369174252
177,4,0.11090623737447514,-5.321782382967795,4,0.11090623737447514,-5.321782382967795
178,4,-0.5585989966494114,-4.699982034240634,4,-0.5585989966494114,-4.699982034240634
179,4,0.24197860810672767,-4.721804394996567,4,0.24197860810672767,-4.721804394996567
180,5,0.2950998953305515,-5.240432672564494,5,0.2950998953305515,-5.240432672564494
181,4,-0.901685950382423,-5.032389505812226,4,-0.901685950382423,-5.032389505812226
182,4,0.10253696667257861,-4.51988274517846,4,0.10253696667257861,-4.51988274517846
183,4,0.5562948727722152,-5.160693779348335,4,0.5562948727722152,-5.160693779348335
